srcip,dstip,dstport,count
463,462,2404,12
418,419,60204,12
522,1,45550,12
524,8,43666,12
420,1,45684,12
10,80,2404,11
429,1,43398,11
10,64,2404,11
24,1,36680,11
447,8,60204,11
18,81,2404,11
1,352,2404,11
1,163,2404,11
1,148,2404,11
235,18,50272,11
486,487,49712,11
18,60,2404,11
261,260,40696,11
18,35,2404,11
18,29,2404,11
1,20,2404,11
1,103,2404,11
324,325,2404,11
291,290,2404,11
8,113,2404,11
295,294,45002,11
97,96,2404,11
557,558,57378,11
10,83,2404,11
10,62,2404,11
18,287,2404,11
10,16,2404,11
10,111,2404,11
10,160,2404,11
1,12,2404,11
1,230,2404,11
18,213,2404,11
1,240,2404,11
1,203,2404,11
18,372,2404,11
10,188,2404,11
1,269,2404,11
10,244,2404,10
8,359,2404,10
1,51,2404,10
18,19,2404,10
8,455,2404,10
1,227,2404,10
471,472,2404,10
8,390,2404,10
472,471,2404,10
595,1,43536,10
1,74,2404,10
857,1,40678,10
18,385,2404,10
48,38,51820,10
857,18,58628,10
18,199,2404,10
42,43,55822,10
156,10,38458,10
450,451,44484,10
1,192,2404,10
502,1,57468,10
312,1,48874,10
79,78,57468,10
18,73,2404,10
1,245,2404,10
241,1,54544,10
1,235,2404,10
1,278,2404,10
10,185,2404,10
376,375,53830,10
256,1,60864,10
1,23,2404,10
1,63,2404,10
1,15,2404,9
18,140,2404,9
18,347,2404,9
18,46,2404,9
18,208,2404,9
18,86,2404,9
1,24,2404,9
18,132,2404,9
27,26,60986,9
253,252,44808,9
1,330,2404,9
10,284,2404,9
1,595,2404,9
1,337,2404,9
488,8,50116,9
1,59,2404,9
1,322,2404,9
1,321,2404,9
358,357,2404,9
147,1,33946,9
10,21,2404,9
1,211,2404,9
1,465,2404,9
592,8,45190,9
40,8,37354,9
1,87,2404,9
327,326,2404,9
8,407,2404,9
10,386,2404,9
86,18,33198,9
585,584,51376,9
412,411,53858,8
410,18,45684,8
311,1,60870,8
392,391,2404,8
343,342,36884,8
361,1,53858,8
339,1,52626,8
18,45,2404,8
18,112,2404,8
271,270,2404,8
272,1,35112,8
250,1,46408,8
38,37,2404,8
197,18,59134,8
120,119,2404,8
905,10,60608,8
87,1,35764,8
22,10,53212,8
92,1,40100,8
94,95,2404,8
550,8,47800,8
306,305,2404,8
193,10,38738,8
18,205,2404,8
498,8,44484,8
162,1,50700,8
18,154,2404,8
18,141,2404,8
178,18,48608,8
302,301,2404,8
1,2,2404,8
1,256,2404,8
8,538,2404,8
1,92,2404,8
1,116,2404,8
10,52,2404,8
10,28,2404,8
1,133,2404,8
8,469,2404,8
1,167,2404,8
1,310,2404,8
10,194,2404,8
1,247,2404,8
1,65,2404,8
1,502,2404,8
1,147,2404,8
1,255,2404,8
1,303,2404,8
31,30,2404,7
8,476,2404,7
495,496,2404,7
8,504,2404,7
1,272,2404,7
445,444,2404,7
408,1,51636,7
104,105,2404,7
501,500,2404,7
1,72,2404,7
431,430,2404,7
1,127,2404,7
8,436,2404,7
281,1,44712,7
171,172,40982,7
481,482,2404,7
88,89,42138,7
293,292,46408,7
231,232,49638,7
234,233,2404,7
127,1,53074,7
582,581,2404,7
568,567,2404,7
18,41,2404,7
273,274,2404,7
663,1,2404,7
1,44,2404,7
467,1,40906,7
319,320,34910,7
38,48,2404,7
10,173,2404,7
18,315,2404,7
451,450,2404,6
236,237,60450,6
437,8,33698,6
465,1,55982,6
78,79,2404,6
383,382,2404,6
1,522,2404,6
49,50,2404,6
8,341,2404,6
286,285,2404,6
8,40,2404,6
296,297,2404,6
304,38,54114,6
312,10,38698,6
317,316,2404,6
671,10,37148,6
345,344,2404,6
364,363,2404,6
864,8,42320,6
366,365,2404,6
367,368,2404,6
26,27,2404,6
268,267,2404,6
478,477,2404,6
8,494,2404,6
406,405,57956,6
413,414,2404,6
413,415,2404,6
474,473,2404,6
144,143,2404,6
531,8,46552,6
184,18,33374,6
581,582,2404,6
10,22,2404,6
1,262,2404,6
1,281,2404,6
1,257,2404,6
124,123,2404,6
178,8,39310,6
1,134,2404,6
18,93,2404,6
18,65,2404,6
405,406,2404,5
1,374,2404,5
410,8,55218,5
8,488,2404,5
394,395,2404,5
527,8,51172,5
259,258,2404,5
260,261,2404,5
8,498,2404,5
8,464,2404,5
561,560,2404,5
8,505,2404,5
8,509,2404,5
519,518,2404,5
334,333,2404,5
351,350,2404,5
588,10,38732,5
589,1,42016,5
115,114,2404,5
156,778,39712,5
341,8,60394,5
1,198,2404,5
536,8,55672,5
175,174,2404,5
136,137,49644,5
369,18,56828,5
110,109,2404,5
8,480,2404,5
10,641,2404,5
329,328,2404,5
374,1,57956,5
18,184,2404,5
380,379,2404,5
1,241,2404,5
625,1,54654,5
10,288,2404,5
8,528,2404,5
416,417,2404,5
8,526,2404,5
243,242,2404,5
1,289,2404,5
1,153,2404,5
459,1,2404,5
576,577,2404,5
197,201,60694,5
223,222,2404,5
91,90,2404,5
1,339,2404,5
608,607,2404,5
225,224,2404,5
13,14,34422,5
617,1,52492,5
299,298,2404,5
283,282,2404,5
511,510,2404,5
348,349,2404,5
100,99,2404,5
8,514,2404,5
421,1,50732,5
68,67,2404,5
443,442,2404,5
874,18,56988,5
508,507,2404,5
432,433,2404,5
434,435,2404,5
70,69,2404,5
1,466,2404,5
8,447,2404,4
8,864,2405,4
277,276,2404,4
8,439,2404,4
146,145,2404,4
118,117,2404,4
8,563,2404,4
275,18,40982,4
8,515,2404,4
8,559,2404,4
89,88,2404,4
8,550,2404,4
8,592,2404,4
8,531,2404,4
8,623,2404,4
8,437,2404,4
8,524,2404,4
8,516,2404,4
249,248,2404,4
272,10,60256,4
10,556,2404,4
66,65,2404,4
8,634,2404,4
252,253,2404,4
10,588,2404,4
178,179,39570,4
741,8,2404,4
8,470,2404,4
10,193,2404,4
77,76,2404,4
8,616,2404,4
1,420,2404,4
623,8,60742,4
1,475,2404,4
618,8,2404,4
452,1,40348,4
453,1,59218,4
458,8,54810,4
614,613,53074,4
1,429,2404,4
903,1,45836,4
1,421,2404,4
292,293,2404,4
1,361,2404,4
1,360,2404,4
484,10,57604,4
487,486,2404,4
1,318,2404,4
922,10,52732,4
1,250,2404,4
516,8,48854,4
521,520,2404,4
933,1,45832,4
534,533,48328,4
536,10,33018,4
